molecule_id,canonical_smiles,source_group,source_dataset,absorption_max_nm,log_extinction,photochem_efficiency,log_kp,skin_sensitization,skin_irritation
MOL_A_000001,B1C=Cc2c(ccc3ccccc23)N1,group_A,M13_uvvisml_chemfluor,345.0,,,,,
MOL_A_000002,B1C=Cc2cc3c(cc2N1)C=CBN3,group_A,M13_uvvisml_chemfluor,357.0,,,,,
MOL_A_000003,B1C=Cc2cc3ccccc3cc2N1,group_A,M13_uvvisml_chemfluor,359.0,,,,,
MOL_A_000004,B1C=Cc2ccc3ccccc3c2N1,group_A,M11_Deep4Chem;M13_uvvisml_chemfluor;M13_uvvisml_deep4chem,351.3333333333333,3.961374,0.61,,,
MOL_A_000005,B1Nc2cccc3c2-n2c1ccc2BN3,group_A,M13_uvvisml_chemfluor,316.0,,,,,
MOL_A_000006,B1Nc2ccccc2-c2ccccc21,group_A,M13_uvvisml_chemfluor,326.0,,,,,
MOL_A_000007,BPPB,group_A,M13_uvvisml_cdex,505.0,,,,,
MOL_A_000008,BP[I]B,group_A,M13_uvvisml_cdex,483.0,,,,,
MOL_A_000009,BrBr,group_A,M11_Deep4Chem,414.4,,,,,
MOL_A_000010,BrC1=CC=CN2B1C=Cc1c2ccc2ccccc12,group_A,M13_uvvisml_chemfluor,321.0,,,,,
MOL_A_000011,BrC1=CC=CN2B1C=Cc1ccccc12,group_A,M11_Deep4Chem;M13_uvvisml_deep4chem,300.0,4.048053,0.005,,,
MOL_A_000012,BrC1=CN2C[n+]3cc(Br)c4ccccc4c3N=C2c2ccccc21,group_A,M11_Deep4Chem;M13_uvvisml_deep4chem,457.0,4.286614,,,,
MOL_A_000013,BrC1=CN2C[n+]3cc(Br)cc(Br)c3N=C2C(Br)=C1,group_A,M11_Deep4Chem;M13_uvvisml_deep4chem,449.0,4.178373,,,,
MOL_A_000014,BrC1=CN2C[n+]3cc(Br)ccc3N=C2C=C1,group_A,M11_Deep4Chem;M13_uvvisml_deep4chem,434.0,4.24839,,,,
MOL_A_000015,BrCC1(Br)c2cc(Br)ccc2-c2ccc(Br)cc21,group_A,M01_Photoswitches_Paper,299.1,,,,,
MOL_A_000016,BrCCCCCCCCCCCCOc1cc2ccc3cccc4ccc(c1)c2c34,group_A,M11_Deep4Chem;M13_uvvisml_deep4chem,384.0,3.579784,0.59,,,
MOL_A_000017,BrCCOc1ccc(N=Nc2ccc(Br)cc2)cc1,group_A,M01_Photoswitches_Paper,431.9,,,,,
MOL_A_000018,BrCc1ccc(-c2ccccn2)nc1,group_A,M01_Photoswitches_Paper,269.7,,,,,
MOL_A_000019,BrCc1ccccc1CBr,group_A,M01_Photoswitches_Paper,243.8,,,,,
MOL_A_000020,Brc1c(Br)c(Br)c2n[nH]nc2c1Br,group_A,M01_Photoswitches_Paper,288.4,,,,,
MOL_A_000021,Brc1c(Br)c2ccc3c(Br)c(Br)c4ccc5ccc1c1c5c4c3c21,group_A,M11_Deep4Chem,300.0,,0.001,,,
MOL_A_000022,Brc1c2ccccc2c(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c2ccccc12,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,389.95,,,,,
MOL_A_000023,Brc1c2ccccc2c(Br)c2ccccc12,group_A,M01_Photoswitches_Paper,375.5,,,,,
MOL_A_000024,Brc1cc(-c2ccccc2N(c2ccccc2)c2ccccc2)c(Br)cc1-c1ccccc1N(c1ccccc1)c1ccccc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,356.8,,,,,
MOL_A_000025,Brc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Br)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,group_A,M13_uvvisml_deep4chem,425.0,,,,,
MOL_A_000026,Brc1cc(Br)c(/N=N/c2c(Br)cc(Br)cc2Br)c(Br)c1,group_A,M01_Photoswitches_Curated,302.0,,,,,
MOL_A_000027,Brc1cc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Br)cc1C=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,group_A,M11_Deep4Chem,451.5,,0.34,,,
MOL_A_000028,Brc1cc2nc3cc4c5c(cccc5c3nc2cc1Br)C(c1ccccc1)=C(c1ccccc1)O4,group_A,M11_Deep4Chem;M13_uvvisml_deep4chem,520.75,,0.12,,,
MOL_A_000029,Brc1ccc(-[n+]2nc3c(-c4ccccc4)cc(Br)cc3c3ccccc32)cc1,group_A,M13_uvvisml_chemfluor,479.0,,,,,
MOL_A_000030,Brc1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,291.3,,,,,
MOL_A_000031,Brc1ccc(-c2cc(-c3ccncc3)nc(-c3ccncc3)c2)cc1,group_A,M01_Photoswitches_Paper,263.5,,,,,
MOL_A_000032,Brc1ccc(-c2ccc(-c3ccc4ccccc4n3)nc2)cc1,group_A,M01_Photoswitches_Paper,295.8,,,,,
MOL_A_000033,Brc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,364.4,,,,,
MOL_A_000034,Brc1ccc(-c2ccc(-c3ccccn3)nc2)cc1,group_A,M01_Photoswitches_Paper,277.7,,,,,
MOL_A_000035,Brc1ccc(-c2ccc(Br)cc2)cc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,327.85,,,,,
MOL_A_000036,Brc1ccc(-c2ccc3cc4ccccc4nc3n2)cc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,369.45,,,,,
MOL_A_000037,Brc1ccc(-c2cn3ccc(C=Cc4ccccc4)cc3n2)cc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,374.3,,,,,
MOL_A_000038,Brc1ccc(-c2cn3ccc(C=Cc4cccs4)cc3n2)cc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,367.6,,,,,
MOL_A_000039,Brc1ccc(-c2nc(-c3ccc(-c4nc(-c5ccc(Br)cc5)c(-c5ccc(Br)cc5)[nH]4)cc3)[nH]c2-c2ccc(Br)cc2)cc1,group_A,M11_Deep4Chem;M13_uvvisml_deep4chem,389.0,,0.49,,,
MOL_A_000040,Brc1ccc(-c2nc(-c3ccc(C#Cc4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)nc(-c3ccc(C#Cc4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)n2)cc1,group_A,M11_Deep4Chem;M13_uvvisml_deep4chem,357.0,4.854913,0.642,,,
MOL_A_000041,Brc1ccc(-c2nc3c(c4c2-c2ccc(Br)cc2CC4)-c2ccc(Br)cc2CC3)cc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,309.15,,,,,
MOL_A_000042,Brc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,group_A,M01_Photoswitches_Paper;M13_uvvisml_cdex,308.7,,,,,
