molecule_id,canonical_smiles,source_group,source_dataset,absorption_max_nm,log_extinction,photochem_efficiency,log_kp,skin_sensitization,skin_irritation
MOL_B_000001,Br,group_B,U07_ICE_Irritation,,,,,,1.0
MOL_B_000002,BrC=Cc1ccccc1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000003,BrCCCCCCBr,group_B,U07_ICE_Irritation,,,,,,1.0
MOL_B_000004,BrCCc1ccccc1,group_B,U07_ICE_Irritation,,,,,,0.0
MOL_B_000005,BrCc1ccccc1,group_B,U07_ICE_Sensitization;U12_SkinPiX,,,,-5.335000000000001,1.0,
MOL_B_000006,BrP(Br)Br,group_B,U07_ICE_Irritation,,,,,,1.0
MOL_B_000007,Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,group_B,U12_SkinPiX,,,,-7.389,,
MOL_B_000008,Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,group_B,U12_SkinPiX,,,,-7.42,,
MOL_B_000009,Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,group_B,U12_SkinPiX,,,,-7.222,,
MOL_B_000010,C#CC#CCOC(=O)c1cc(O)cc(O)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000011,C#CC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000012,C#CC(C)(CC)OC(=O)c1cc(O)c(O)c(O)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000013,C#CC(C)(O)CCC=C(C)C,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000014,C#CC1(OC(C)=O)CCCCC1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000015,C#CC1(OC(C)=O)CCCCC1C(C)CC,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000016,C#CCC(c1cc(C)cc(C(C)(C)C)c1O)c1cc(C)cc(C(C)(C)C)c1O,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000017,C#CCCCCCCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000018,C#CCOC(=O)C(=Cc1ccc(O)cc1)C(=O)OCC#C,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000019,C#CCOC(=O)C=Cc1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000020,C#CCOC(=O)C=Cc1ccccc1OC,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000021,C#CCOc1cc(O)cc(C(=O)OC)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000022,C#CCOc1ccc(C(=O)OC)c(O)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000023,C#CCOc1ccc(C)cc1C(=O)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000024,C#Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000025,C#Cc1cc(C)cc(C(C)(C)C)c1O,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000026,C#Cc1ccc(C(=O)c2ccccc2)cc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000027,C#Cc1ccc(C=CC(=O)OC)cc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000028,C#Cc1ccc(O)c(C(C)(C)C)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000029,C#Cc1sc(Br)cc1-c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000030,C(=C(CN1CCCCC1)C1CCCCC1)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000031,C(CN1CCCCC1)=C(c1ccccc1)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000032,C/C(=C\CO)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,group_B,U07_ICE_Sensitization,,,,,1.0,
MOL_B_000033,C/C(=N\C(c1ccccc1)c1ccccc1)C(=O)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000034,C/C1=C\CCC2(C)OC2CC/C(C)=C/CC1,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000035,C/C=C(/C)C(=O)OCCC(C)CC,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000036,C/C=C(\C)C(=O)O,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000037,C/C=C(\C)C(=O)OC,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000038,C/C=C(\C)C(=O)OC(C)C,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000039,C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000040,C/C=C(\C)C(=O)OCC,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000041,C/C=C(\C)C(=O)OCC/C=C\CC,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000042,C/C=C(\C)C(=O)OCC=Cc1ccccc1,group_B,U07_ICE_Sensitization;U21_EPA_CPDat_Uv_Absorber,,,,,0.0,
MOL_B_000043,C/C=C(\C)C(=O)OCCC(C)CCC=C(C)C,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000044,C/C=C(\C)C(=O)OCCCCCC,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000045,C/C=C(\C)C(=O)OCCc1ccccc1,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000046,C/C=C(\C)C(=O)OCc1ccccc1,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000047,C/C=C/C(=O)C1=C(C)CCCC1(C)C,group_B,U07_ICE_Sensitization,,,,,1.0,
MOL_B_000048,C/C=C/C(=O)C1CCC(C)(C)C=C1C,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000049,C/C=C/C(=O)OC,group_B,U07_ICE_Sensitization,,,,,1.0,
MOL_B_000050,C/C=C/C(=O)OCC,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000051,C/C=C/C=C/C(=O)O,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000052,C/C=C/C=C/C=C/C(C)=O,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000053,C/C=C/C=C/C=O,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000054,C/C=C/c1ccc(O)c(OC)c1,group_B,U12_SkinPiX,,,,-5.117,,
MOL_B_000055,C/C=C/c1ccc(OC(C)=O)c(OC)c1,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000056,C/C=C/c1ccc(OC)c(OC)c1,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000057,C/[O+]=C(\c1ccccc1)c1ccc([N+](=O)[O-])cc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000058,C/[O+]=C(\c1ccccc1)c1cccc([N+](=O)[O-])c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000059,C1=C\CCCCCC/1,group_B,U07_ICE_Irritation,,,,,,0.0
MOL_B_000060,C1CCC(NC2CCCCC2)CC1,group_B,U07_ICE_Irritation,,,,,,1.0
MOL_B_000061,C1CCNC1,group_B,U07_ICE_Irritation,,,,,,1.0
MOL_B_000062,C1CCOCC1,group_B,U07_ICE_Irritation,,,,,,0.0
MOL_B_000063,C=C(/C=C/C=C(C)C)C(C)O,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000064,C=C(Br)c1cccc(C(=O)c2ccccc2)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000065,C=C(C(=O)OC1CC2CCC(C1)N2C)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000066,C=C(C(=O)OCC)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000067,C=C(C(=O)c1c(O)cc(OC)cc1OC)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000068,C=C(C(=O)c1c(OC)cc(OC)c(C)c1O)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000069,C=C(C)C(=CC(=O)OC)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000070,C=C(C)C(=O)NC1CC(C)(C)NC(C)(C)C1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000071,C=C(C)C(=O)NCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000072,C=C(C)C(=O)NCc1cc(C(C)(C)CC(C)(C)C)cc(-n2nc3ccccc3n2)c1O,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000073,C=C(C)C(=O)Nc1ccccc1C(=O)c1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000074,C=C(C)C(=O)OC,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,1.0,
MOL_B_000075,C=C(C)C(=O)OC(COc1ccc(C(=O)c2ccccc2)c(O)c1)COc1ccc(C(=O)c2ccccc2)c(O)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000076,C=C(C)C(=O)OC=Cc1ccccc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000077,C=C(C)C(=O)OCC(C)O,group_B,U07_ICE_Sensitization,,,,,1.0,
MOL_B_000078,C=C(C)C(=O)OCC(O)COc1ccc(C(=O)c2ccccc2)c(O)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000079,C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,group_B,U07_ICE_Sensitization,,,,,1.0,
MOL_B_000080,C=C(C)C(=O)OCCCC,group_B,U07_ICE_Irritation,,,,,,1.0
MOL_B_000081,C=C(C)C(=O)OCCCCCCC,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000082,C=C(C)C(=O)OCCCc1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000083,C=C(C)C(=O)OCCOC(=O)C(=C)C,group_B,U07_ICE_Sensitization,,,,,1.0,
MOL_B_000084,C=C(C)C(=O)OCCOCC,group_B,U07_ICE_Irritation,,,,,,0.0
MOL_B_000085,C=C(C)C(=O)OCCOCCOCCOCC,group_B,U07_ICE_Irritation,,,,,,0.0
MOL_B_000086,C=C(C)C(=O)OCCOc1ccc(C(=O)c2ccccc2)c(O)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000087,C=C(C)C(=O)OCCOc1ccc(C(=O)c2ccccc2)cc1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000088,C=C(C)C(=O)OCCc1ccc(O)c(-n2nc3ccccc3n2)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000089,C=C(C)C(=O)OCCc1ccccc1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000090,C=C(C)C(=O)OCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000091,C=C(C)C(=O)Oc1c(Cc2cc(C)cc(C(C)(C)C)c2O)cc(C)cc1C(C)(C)C,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000092,C=C(C)C(=O)Oc1ccc(C(=O)c2ccccc2)c(O)c1,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000093,C=C(C)C(CC=C(C)C)COC(C)=O,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000094,C=C(C)C(CO)CC=C(C)C,group_B,U09_HPPT,,,,,0.0,
MOL_B_000095,C=C(C)C1CC(=O)C2(C)OC2C1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000096,C=C(C)C1CC=C(C)C(=O)C1,group_B,U09_HPPT,,,,,0.0,
MOL_B_000097,C=C(C)C1CC=C(C)C(O)C1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000098,C=C(C)C1CC=C(C)C(OC(=O)CC)C1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000099,C=C(C)C1CC=C(C)C(OC(C)=O)C1,group_B,U09_HPPT,,,,,0.0,
MOL_B_000100,C=C(C)C1CC=C(C)CC1,group_B,U09_HPPT,,,,,0.0,
MOL_B_000101,C=C(C)C1CC=C(C=O)CC1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,1.0,
MOL_B_000102,C=C(C)C1CC=C(CO)CC1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000103,C=C(C)C1CCC(C)(OC(C)=O)CC1,group_B,U07_ICE_Sensitization,,,,,0.0,
MOL_B_000104,C=C(C)C1CCC(C)=C1CC(C)(C)COC(=O)CC,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000105,C=C(C)C1CCC(C)C(=O)C1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000106,C=C(C)C1CCC(C)C(O)C1,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000107,C=C(C)C1CCC(C)CC1O,group_B,U09_HPPT,,,,,0.0,
MOL_B_000108,C=C(C)C1CCC(C)CC1OC(C)=O,group_B,U09_HPPT,,,,,0.0,
MOL_B_000109,C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,group_B,U09_HPPT,,,,,1.0,
MOL_B_000110,C=C(C)C1CCC2=CCCC(C)C2(C)C1,group_B,U09_HPPT,,,,,0.0,
MOL_B_000111,C=C(C)C=O,group_B,U07_ICE_Irritation,,,,,,0.0
MOL_B_000112,C=C(C)CC(=Cc1ccccc1)C(=O)OC,group_B,U21_EPA_CPDat_Uv_Absorber,,,,,,
MOL_B_000113,C=C(C)CC(C)OC(=O)C(C)C,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000114,C=C(C)CC(C)OC(=O)c1ccccc1O,group_B,U07_ICE_Sensitization;U09_HPPT;U21_EPA_CPDat_Uv_Absorber,,,,,0.0,
MOL_B_000115,C=C(C)CCCC(C)CCO,group_B,U09_HPPT,,,,,0.0,
MOL_B_000116,C=C(C)CCCC(C)CCOC(=O)C(C)C,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000117,C=C(C)CCCC(C)CCOC(=O)CC,group_B,U09_HPPT,,,,,0.0,
MOL_B_000118,C=C(C)CCCC(C)CCOC(=O)CCC,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
MOL_B_000119,C=C(C)CCCC(C)CCOC(=O)Cc1ccccc1,group_B,U09_HPPT,,,,,0.0,
MOL_B_000120,C=C(C)CCCC(C)CCOC(C)=O,group_B,U07_ICE_Sensitization;U09_HPPT,,,,,0.0,
