SMILES,lambda_max,delta_h,pss_z,k_thermal,system_type,source_id,calc_method,compound_name,canonical_smiles
[H]C1=C(c2ccc(C#N)cc2)C2C=CC1C2,280.0,67.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_21,N#Cc1ccc(C2=CC3C=CC2C3)cc1
[H]C1=C(c2ccc(C#N)cc2)C2C=CC1C2(C)C,280.0,65.02,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_22,CC1(C)C2C=CC1C(c1ccc(C#N)cc1)=C2
[H]C1=C(c2ccc(C#N)cc2)C2CC1(C)C=C2C,280.0,64.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_23,CC1=CC2(C)C=C(c3ccc(C#N)cc3)C1C2
[H]C1=C(c2ccc([N+](=O)[O-])cc2)C2C=CC1C2,285.0,80.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_24,O=[N+]([O-])c1ccc(C2=CC3C=CC2C3)cc1
[H]C1=C(c2ccc([N+](=O)[O-])cc2)C2C=CC1C2(C)C,285.0,62.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_25,CC1(C)C2C=CC1C(c1ccc([N+](=O)[O-])cc1)=C2
[H]C1=C(c2ccc([N+](=O)[O-])cc2)C2CC1(C)C=C2C,285.0,71.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_26,CC1=CC2(C)C=C(c3ccc([N+](=O)[O-])cc3)C1C2
[H]C1=C(c2ccc(C(F)(F)F)cc2)C2C=CC1C2,273.0,62.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_27,FC(F)(F)c1ccc(C2=CC3C=CC2C3)cc1
[H]C1=C(c2ccc(C(F)(F)F)cc2)C2C=CC1C2(C)C,273.0,65.23,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_28,CC1(C)C2C=CC1C(c1ccc(C(F)(F)F)cc1)=C2
[H]C1=C(c2ccc(C(F)(F)F)cc2)C2CC1(C)C=C2C,273.0,80.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_29,CC1=CC2(C)C=C(c3ccc(C(F)(F)F)cc3)C1C2
[H]C1=C(c2cccc(C#N)c2)C2C=CC1C2,277.0,73.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_45,N#Cc1cccc(C2=CC3C=CC2C3)c1
[H]C1=C(c2cccc(C#N)c2)C2C=CC1C2(C)C,277.0,80.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_46,CC1(C)C2C=CC1C(c1cccc(C#N)c1)=C2
[H]C1=C(c2cccc(C#N)c2)C2CC1(C)C=C2C,277.0,75.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_47,CC1=CC2(C)C=C(c3cccc(C#N)c3)C1C2
N#CC1=C(c2ccccc2)C2C=CC1C2,330.0,62.89,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_60,N#CC1=C(c2ccccc2)C2C=CC1C2
CC1(C)C2C=CC1C(c1ccccc1)=C2C#N,330.0,68.42,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_61,CC1(C)C2C=CC1C(c1ccccc1)=C2C#N
CC1=CC2(C)CC1C(C#N)=C2c1ccccc1,330.0,51.97,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_62,CC1=CC2(C)CC1C(C#N)=C2c1ccccc1
COC(=O)C1=C(c2ccccc2)C2C=CC1C2,333.0,69.78,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_63,COC(=O)C1=C(c2ccccc2)C2C=CC1C2
COC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,333.0,68.33,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_64,COC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C
COC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2,333.0,58.49,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_65,COC(=O)C1=C(c2ccccc2)C2(C)C=C(C)C1C2
CCOC(=O)C1=C(c2ccccc2)C2C=CC1C2,333.0,67.7,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_66,CCOC(=O)C1=C(c2ccccc2)C2C=CC1C2
CCOC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C,333.0,76.5,75.0,0.0001,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D,NBD_DA_67,CCOC(=O)C1=C(c2ccccc2)C2C=CC1C2(C)C
