SMILES,lambda_max,log_eps,quantum_yield,system_type,source_id,calc_method,compound_name,canonical_smiles
N[C@@H](Cc1ccc(O)cc1)C(=O)O,285.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_192,N[C@@H](Cc1ccc(O)cc1)C(=O)O
Nc1ccccc1C(=O)O,290.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_193,Nc1ccccc1C(=O)O
[NH3+]C(Cc1ccccc1)C(=O)[O-],258.0,,0.022,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1028,[NH3+]C(Cc1ccccc1)C(=O)[O-]
O=C(O)c1ccccc1,266.0,3.890532792,0.001,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1057,O=C(O)c1ccccc1
COc1cc(C(=O)O)ccc1O,285.0,3.945271582,0.03,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1058,COc1cc(C(=O)O)ccc1O
COc1cc(C(=O)O)cc(OC)c1O,260.0,4.163668154,0.009,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1059,COc1cc(C(=O)O)cc(OC)c1O
COc1cc(/C=C/CO)ccc1O,295.0,4.073864923,0.1,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1060,COc1cc(/C=C/CO)ccc1O
O=C(O)c1ccccc1O,295.0,3.539577883,0.35,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1061,O=C(O)c1ccccc1O
COc1cc(/C=C/C(=O)O)ccc1O,287.0,4.150664354,0.002,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1062,COc1cc(/C=C/C(=O)O)ccc1O
O=C(O)c1cc(O)c(O)c(O)c1,258.0,3.918187661,0.006,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1063,O=C(O)c1cc(O)c(O)c(O)c1
Cc1ccc(O)cc1,276.0,3.285557309,0.11,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1064,Cc1ccc(O)cc1
[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],274.0,3.08170727,0.13,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1065,[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-]
[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)[O-],278.0,3.360971884,0.075,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_1066,[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)[O-]
CN(C)CCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],330.0,3.5774918,0.00086,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_2578,CN(C)CCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
CCCCC(CC)COC(=O)/C=C/c1c(OC)ccc(OC)c1OC,325.0,4.130333768,0.08,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3395,CCCCC(CC)COC(=O)/C=C/c1c(OC)ccc(OC)c1OC
CCCCC(CC)COC(=O)/C=C\c1c(OC)ccc(OC)c1OC,313.0,3.875061263,0.07,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3397,CCCCC(CC)COC(=O)/C=C\c1c(OC)ccc(OC)c1OC
CCCCC(CC)COC(=O)/C=C/c1cccc(OC)c1,313.0,3.84509804,0.311,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3399,CCCCC(CC)COC(=O)/C=C/c1cccc(OC)c1
CCCCC(CC)COC(=O)/C=C\c1cccc(OC)c1,313.0,3.491361694,0.23,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3401,CCCCC(CC)COC(=O)/C=C\c1cccc(OC)c1
CCCCC(CC)COC(=O)/C=C/c1ccc(OC)c(OC)c1OC,309.0,4.392696953,0.01,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_3403,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)c(OC)c1OC
