SMILES,lambda_max,delta_h,pss_z,k_thermal,system_type,source_id,calc_method,compound_name
C[N]1N=NC(=N1)N=NC2=CC=CC=C2,310.0,50.0,76.0,2.1e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_0
C[N]1C=NC(=N1)N=NC2=CC=CC=C2,310.0,50.0,90.0,3.8e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_1
C[N]1C=CC(=N1)N=NC2=CC=CC=C2,320.0,50.0,98.0,1.1e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_2
C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,325.0,50.0,96.0,1.5e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_3
C[N]1C=C(C=N1)N=NC2=CC=CC=C2,328.0,50.0,98.0,7.6e-09,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_4
C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,335.0,50.0,98.0,7.7e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_5
C[N]1N=CC=C1N=NC2=CC=CC=C2,341.0,50.0,98.0,7.4e-07,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_6
C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,340.0,50.0,94.0,1.6e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_7
CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,363.0,50.0,77.0,2.2e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_8
CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,345.0,50.0,85.0,0.0007599999999999,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_9
CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,394.0,50.0,85.0,0.033,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_10
CN1C(/N=N/C2=CC=CC=C2)=CC=C1,385.0,50.0,84.0,6.500000000000001e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_11
CN1C(/N=N/C2=CC=CC=C2)=NC=C1,363.0,50.0,98.0,2.2e-05,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_12
CN(C=N1)C=C1/N=N/C2=CC=CC=C2,336.0,50.0,95.0,3.3e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_13
CN1C(/N=N/C2=CC=CC=C2)=CN=C1,362.0,50.0,98.0,1.2e-06,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_14
NC(C=C1)=CC=C1N=NC2=NNC=C2,391.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_15
COC(C=C1)=CC=C1N=NC2=NNC=C2,344.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_16
CC(C=C1)=CC=C1N=NC2=NNC=C2,332.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_17
C1(/N=N/C2=CC=NN2)=CC=NN1,320.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_18
[H]C(C=C1)=CC=C1N=NC2=NNC=C2,324.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_19
BrC(C=C1)=CC=C1N=NC2=NNC=C2,331.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_20
FC1=CC=CC=C1N=NC2=NNC=C2,328.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_21
O=C(O)C(C=C1)=CC=C1N=NC2=NNC=C2,328.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_22
O=C(C1=CC=C(/N=N/C2=NNC=C2)C=C1)OCC,331.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_23
CC(C(C=C1)=CC=C1N=NC2=NNC=C2)=O,322.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_24
[O-][N+](C(C=C1)=CC=C1N=NC2=NNC=C2)=O,340.0,50.0,,,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_25
CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,316.0,50.0,92.0,4.8e-10,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_26
CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,328.0,50.0,93.0,7.84e-08,Photoswitch_Experimental,M01_Photoswitch_Dataset,Experimental,PS_M01_27
