SMILES,lambda_max,log_eps,quantum_yield,system_type,source_id,calc_method,compound_name
N#Cc1cc2ccc(O)cc2oc1=O,355.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,350.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_5
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,376.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_10
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,361.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_15
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,393.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_19
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,382.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_24
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,365.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_27
CCNc1cc2oc(=O)cc(C)c2cc1C,354.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_30
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,383.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_31
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,342.0,,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_83
c1ccc2ccccc2c1,286.0,3.58,0.23,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_97
C[Si](C)(C)c1cccc2ccccc12,294.0,3.73,0.3,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_98
C[SiH](C)c1cccc2ccccc12,294.0,3.75,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_99
CCCC[Si](C)(C)c1cccc2ccccc12,294.0,3.74,,UV_Chromophore_Experimental,M11_Deep4Chem_UV,Experimental,Deep4Chem_UV_100
