2D Structure,smiles,lambda-max
,Cn1cnc(/N=N/c2ccc(C(F)(F)F)c(Cl)c2)n1,301
,Cn1cnc(/N=N/c2cccc(C(F)(F)F)c2)n1,309
,Cn1cnc(/N=N/c2ccc(Cl)c(C(F)(F)F)c2)n1,309
,N#Cc1ccc(/N=N/c2cc[nH]n2)cc1,316
,Fc1ccc(/N=N/c2ccc(C(F)(F)F)o2)o1,375
,Fc1ccc(/N=N/c2ccco2)o1,377
,FC(F)(F)c1ccc(/N=N/c2ccc(C(F)(F)F)[nH]2)[nH]1,377
,Fc1ccc(/N=N/c2ccc(F)o2)o1,378
,FC(F)(F)c1c[nH]c(/N=N/c2ccc[nH]2)c1,380
,FC(F)(F)c1ccc(/N=N/c2ccc(Cl)o2)o1,382
,Clc1ccc(/N=N/c2ccco2)o1,383
,FC(F)(F)c1ccc(/N=N/c2ccc(C(F)(F)F)s2)s1,385
,Fc1ccc(/N=N/c2ccc(Cl)o2)o1,385
,Fc1ccc(/N=N/c2ccc(C(F)(F)F)[nH]2)[nH]1,385
,Cc1ccc(/N=N/c2ccc(C(F)(F)F)o2)o1,386
,FC(F)(F)c1ccc(/N=N/c2ccc[nH]2)[nH]1,386
,Cc1ccc(/N=N/c2ccc(F)o2)o1,388
,N#Cc1ccc(/N=N/c2ccco2)o1,388
,Clc1c[nH]c(/N=N/c2ccc[nH]2)c1,389
,Fc1ccc(/N=N/c2ccc[nH]2)[nH]1,390
,Fc1ccc(/N=N/c2ccc(F)[nH]2)[nH]1,390
,Fc1c[nH]c(/N=N/c2ccc[nH]2)c1,391
,N#Cc1ccc(/N=N/c2ccc(F)o2)o1,391
,Fc1ccc(/N=N/c2cccs2)s1,393
,FC(F)(F)c1ccc(/N=N/c2ccc(Cl)[nH]2)[nH]1,393
,Fc1ccc(/N=N/c2ccc(C(F)(F)F)s2)s1,394
,Fc1ccc(/N=N/c2ccc(F)s2)s1,395
,Cc1ccc(/N=N/c2ccc(Cl)o2)o1,395
,Clc1ccc(/N=N/c2ccc[nH]2)[nH]1,395
,Fc1ccc(/N=N/c2ccc(Cl)[nH]2)[nH]1,395
,Oc1ccc(/N=N/c2ccco2)o1,395
,Sc1ccc(/N=N/c2ccc[nH]2)[nH]1,395
,N#Cc1ccc(/N=N/c2ccc(C#N)o2)o1,396
,Cc1ccc(/N=N/c2ccc(C(F)(F)F)[nH]2)[nH]1,397
,Fc1ccc(/N=N/c2ccc(S)[nH]2)[nH]1,397
,Oc1ccc(/N=N/c2ccc(C(F)(F)F)o2)o1,397
,N#Cc1ccc(/N=N/c2ccc(Cl)o2)o1,399
,Cc1ccc(/N=N/c2ccco2)o1,399
,Clc1ccc(/N=N/c2cccs2)s1,400
,Cc1ccc(/N=N/c2ccc(F)[nH]2)[nH]1,400
,Clc1ccc(/N=N/c2ccc(Cl)[nH]2)[nH]1,400
,Cc1ccc(/N=N\c2ccc[nH]2)[nH]1,400
,FC(F)(F)c1ccc(/N=N/c2ccc(Cl)s2)s1,401
,O=Cc1ccc(/N=N/c2ccco2)o1,401
,Cc1ccc(/N=N/c2cccs2)s1,402
,Oc1c[nH]c(/N=N/c2ccc[nH]2)c1,402
,Fc1ccc(/N=N/c2ccc(Cl)s2)s1,403
,Fc1ccc(/N=N/c2ccc(S)o2)o1,403
,Cc1ccc(/N=N/c2ccc(C#N)o2)o1,403
,FC(F)(F)c1ccc(/N=N/c2ccc(S)[nH]2)[nH]1,403
,O=Cc1ccc(/N=N/c2ccc(C(F)(F)F)[nH]2)[nH]1,404
,Oc1ccc(/N=N/c2ccc(S)o2)o1,405
,Sc1ccc(/N=N/c2ccco2)o1,405
,Oc1ccc(/N=N/c2ccc[nH]2)[nH]1,405
,Cc1ccc(/N=N/c2ccc(Cl)[nH]2)[nH]1,405
,Clc1ccc(/N=N/c2ccc(Cl)o2)o1,405
,Cc1ccc(/N=N/c2ccc(S)[nH]2)[nH]1,406
,N#Cc1ccc(/N=N/c2ccc(F)s2)s1,407
,N#Cc1ccc(/N=N/c2cccs2)s1,407
,Cc1ccc(/N=N/c2ccc(S)o2)o1,408
,FC(F)(F)c1ccc(/N=N/c2ccc(S)o2)o1,409
,Cc1ccc(/N=N/c2ccc(Cl)s2)s1,410
,Oc1ccc(/N=N/c2cccs2)s1,410
,Clc1ccc(/N=N/c2ccc(Cl)s2)s1,410
,Oc1ccc(/N=N/c2ccc(F)o2)o1,410
,Cc1ccc(/N=N/c2ccc(C)o2)o1,411
,N#Cc1ccc(/N=N/c2ccc(C#N)s2)s1,412
,Oc1ccc(/N=N/c2ccc(S)[nH]2)[nH]1,412
,Oc1ccc(/N=N/c2ccc(Cl)[nH]2)[nH]1,412
,O=Cc1ccc(/N=N/c2ccc(F)[nH]2)[nH]1,413
,Oc1ccc(/N=N/c2ccc(F)[nH]2)[nH]1,413
,Oc1ccc(/N=N/c2ccc(O)o2)o1,413
,N#Cc1ccc(/N=N/c2ccc(Cl)s2)s1,414
,Sc1ccc(/N=N/c2ccc(Cl)o2)o1,414
,Oc1ccc(/N=N/c2ccc(Cl)o2)o1,414
,Oc1ccc(/N=N/c2ccc(F)s2)s1,415
,Oc1ccc(/N=N/c2ccc(C(F)(F)F)s2)s1,416
,Cc1ccc(/N=N/c2ccc(O)s2)s1,417
,Cc1ccc(/N=N/c2ccc(C#N)s2)s1,417
,Oc1ccc(/N=N/c2ccc(C(F)(F)F)[nH]2)[nH]1,417
,N#Cc1ccc(/N=N/c2ccc(O)o2)o1,417
,Cc1ccc(/N=N/c2ccc(O)[nH]2)[nH]1,417
,O=Cc1ccc(/N=N/c2ccc(Cl)[nH]2)[nH]1,418
,O=Cc1ccc(/N=N/c2ccc(F)s2)s1,419
,O=Cc1ccc(/N=N/c2ccc(C=O)o2)o1,419
,O=Cc1ccc(/N=N/c2ccc[nH]2)[nH]1,419
,Sc1ccc(/N=N/c2cccs2)s1,422
,Nc1ccc(/N=N/c2ccc(F)o2)o1,422
,Oc1ccc(/N=N/c2ccc(Cl)s2)s1,423
,Cc1ccc(/N=N/c2ccc(O)o2)o1,423
,Fc1ccc(/N=N/c2ccc(S)s2)s1,424
,O=Cc1ccc(/N=N/c2ccc(Cl)s2)s1,425
,Nc1ccc(/N=N/c2ccc(F)[nH]2)[nH]1,425
,Cc1ccc(/N=N/c2ccc(C)[nH]2)[nH]1,425
,C=Cc1ccc(/N=N/c2ccc(C(F)(F)F)[nH]2)[nH]1,426
,O=Cc1ccc(/N=N/c2ccc(O)o2)o1,427
,O=Cc1ccc(/N=N/c2ccc(C=O)s2)s1,428
,C=Cc1ccc(/N=N/c2ccc(F)[nH]2)[nH]1,428
,Cc1ccc(/N=N/c2ccc(S)s2)s1,429
,Cc1ccc(/N=N/c2ccc(C=O)s2)s1,429
,FC(F)(F)c1ccc(/N=N/c2ccc(S)s2)s1,429
,C=Cc1ccc(/N=N/c2ccc(C)o2)o1,429
,Nc1ccc(/N=N/c2ccc(C(F)(F)F)[nH]2)[nH]1,429
,Nc1ccc(/N=N/c2ccc(C(F)(F)F)o2)o1,429
,Cc1ccc(/N=N/c2ccc(N)o2)o1,429
,Nc1ccc(/N=N/c2ccc(Cl)o2)o1,429
,Nc1ccc(/N=N/c2ccc(Cl)[nH]2)[nH]1,430
,Oc1ccc(/N=N/c2ccc(O)[nH]2)[nH]1,431
,Sc1ccc(/N=N/c2ccc(S)o2)o1,431
,Nc1ccc(/N=N/c2ccc(S)[nH]2)[nH]1,431
,Sc1ccc(/N=N/c2ccc(Cl)s2)s1,432
,Oc1ccc(/N=N/c2ccc(O)s2)s1,432
,N#Cc1ccc(/N=N/c2ccc(S)o2)o1,432
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1F,432
,O=Cc1ccc(/N=N/c2ccc(O)[nH]2)[nH]1,433
,Cc1ccc(/N=N/c2ccc(C=O)o2)o1,433
,N#Cc1ccc(/N=N/c2ccc(O)s2)s1,434
,C=Cc1ccc(/N=N/c2ccc(Cl)[nH]2)[nH]1,434
,Oc1ccc(/N=N/c2ccc(S)s2)s1,436
,Nc1ccc(/N=N/c2ccc(O)o2)o1,436
,C=Cc1ccc(/N=N/c2ccc(C)s2)s1,437
,Nc1ccc(/N=N/c2ccc(O)[nH]2)[nH]1,437
,C=Cc1ccc(/N=N/c2ccc(Cl)s2)s1,438
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1C,438
,O=Cc1ccc(/N=N/c2ccc(S)[nH]2)[nH]1,441
,N#Cc1ccc(/N=N/c2ccc(N)o2)o1,443
,C=Cc1ccc(/N=N/c2ccc(O)[nH]2)[nH]1,443
,O=Cc1ccc(/N=N/c2ccc(O)s2)s1,444
,N#Cc1ccc(/N=N/c2ccc(S)s2)s1,445
,C=Cc1ccc(/N=N/c2ccc(O)o2)o1,445
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1Cl,445
,C=Cc1cc(C)sc1/N=N/c1sc(O)cc1O,445
,Cc1ccc(/N=N/c2ccc(N)[nH]2)[nH]1,447
,Sc1ccc(/N=N/c2ccc(S)s2)s1,449
,C=Cc1ccc(/N=N/c2ccc(O)s2)s1,450
,O=[N+]([O-])c1ccc(/N=N/c2ccc(O)o2)o1,450
,C=Cc1cc(C)sc1/N=N/c1sc(S)cc1C,451
,Nc1ccc(/N=N/c2ccc(C(F)(F)F)s2)s1,452
,Nc1ccc(/N=N/c2ccc(Cl)s2)s1,452
,Nc1ccc(/N=N/c2ccc(S)o2)o1,453
,Nc1ccc(/N=N/c2ccc(N)[nH]2)[nH]1,453
,C=Cc1cc(C)sc1/N=N/c1sc(S)cc1F,453
,C=Cc1ccc(/N=N/c2ccc(C=O)[nH]2)[nH]1,454
,C=Cc1cc(F)sc1/N=N/c1sc(C)cc1S,454
,Nc1ccc(/N=N/c2ccc(O)s2)s1,455
,O=Cc1ccc(/N=N/c2ccc(S)s2)s1,456
,Nc1ccc(/N=N/c2ccc(N)o2)o1,457
,C=Cc1cc(C(F)(F)F)sc1/N=N/c1sc(C)cc1S,460
,C=Cc1ccc(/N=N/c2ccc(C=C)o2)o1,461
,C=Cc1cc(C)sc1/N=N/c1sc(F)cc1S,461
,Cc1cc(S)c(/N=N/c2sc(C)cc2S)s1,461
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1S,463
,C=Cc1cc(C)sc1/N=N/c1sc(C(F)(F)F)cc1S,463
,Nc1ccc(/N=N/c2ccc(S)s2)s1,464
,C=Cc1cc(C)sc1/N=N/c1sc(F)cc1C=C,464
,C=Cc1cc(C)sc1/N=N/c1sc(S)cc1Cl,466
,C=Cc1cc(C)sc1/N=N/c1sc(Cl)cc1S,466
,C=Cc1cc(Cl)sc1/N=N/c1sc(C)cc1S,466
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1O,466
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1C=C,468
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1N,469
,C=Cc1cc(C)sc1/N=N/c1sc(S)cc1C(F)(F)F,470
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1C(F)(F)F,471
,C=Cc1cc(O)sc1/N=N/c1sc(C)cc1S,472
,C=Cc1cc(C)sc1/N=N/c1sc(O)cc1C,472
,Cc1cc(S)c(/N=N/c2sc(C)cc2C=O)s1,473
,C=Cc1cc(C)sc1/N=N/c1sc(O)cc1C=C,475
,C=Cc1cc(C)sc1/N=N/c1sc(S)cc1O,475
,Nc1ccc(/N=N/c2ccc(N)s2)s1,476
,C=Cc1cc(C)sc1/N=N/c1sc(C(F)(F)F)cc1C=C,478
,C=Cc1cc(C)sc1/N=N/c1sc(S)cc1N,478
,C=Cc1ccc(/N=N/c2ccc(N)s2)s1,480
,C=Cc1cc(C)sc1/N=N/c1sc(C)cc1C=O,481
,C=Cc1cc(C=O)sc1/N=N/c1sc(C)cc1S,485
,N#Cc1ccc(/N=N/c2ccc(N)s2)s1,486
,Nc1ccc(/N=N/c2ccc(C=O)s2)s1,487
,C=Cc1cc(C)sc1/N=N/c1sc(Cl)cc1C=C,487
,C=Cc1cc(C)sc1/N=N/c1sc(C=O)cc1S,492
,C=Cc1cc(C)sc1/N=N/c1sc(S)cc1C=O,492
,C=Cc1cc(S)sc1/N=N/c1sc(C)cc1C=O,493
,C=Cc1cc(C=O)c(/N=N/c2sc(C)cc2S)s1,494
,C=Cc1cc(S)c(/N=N/c2sc(C)cc2C=O)s1,494
