"Compound name","Smiles","logkp (cm/s)","skin donor type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","flux","notes","reference","DOI"
"1,1,1-Trichloropropanone","CC(=O)C(Cl)(Cl)Cl","-5.176","Mammaplasty","breast","epidermis, dermis","dermatomed 250-280um","-20","","0","40","7","Water","37","7.4","PBS","Glass diffusion cell","","","Xu, 2002","10.1006/taap.2002.9494"
"1,1-Dichloropropanone","ClC(C(=O)C)Cl","-4.923","Mammaplasty","breast","epidermis, dermis","dermatomed 250-280um","-20","","0","40","7","Water","37","7.4","PBS","Glass diffusion cell","","","Xu, 2002","10.1006/taap.2002.9494"
"1,2,4-Benzenetriol","Oc1ccc(c(c1)O)O","-7.456","Abdominoplasty","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","","","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"1,6-hexanediol diglycidyl ether","C(CCOCC1OC1)CCCOCC1OC1","-7.423","Mammaplasty","breast","epidermis, dermis","dermatomed","","0.125","0","32","","","","7.4","Hanks balanced salt solution","Flow through cell","","receptor- Hanks balanced salt solution, no phenol red and sodium bicarbonate, contains HEPES, BSA and gentamicin","Boogaard, 2000","10.1080/004982500237488"
"1-Butanol","CCCCO","-6.079","Cadaver","abdomen","epidermis","heat separation","","","0","","","","","","","Glass diffusion cell","","kp value given as a range (2-4*10^-3 cm/h); mean value used","Blank, 1967","10.1038/jid.1967.184"
"1-Butanol","CCCCO","-5.481","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","","","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Butanol","CCCCO","-5.659","Abdominoplasty","abdomen","epidermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","","","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Butanol","CCCCO","-6.214","Cadaver","abdomen, back","epidermis","heat separation","4","7","0","25","","PBS","25","","PBS","Glass diffusion cell","","","Mitragotri, 1995","10.1002/jps.2600840607"
"1-Butanol","CCCCO","-6.214","Cadaver","","epidermis","heat separation","4","14","0","","","PBS","","","PBS","Franz cell","","","Mitragotri, 1996","10.1023/A:1016096626810"
"1-Butanol","CCCCO","-6.158","Cadaver","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","","","Scheuplein, 1965","10.1038/jid.1965.140"
