SMILES,lambda_max,delta_h,pss_z,k_thermal,donor,acceptor,scaffold,system_type,source_id,calc_method
[H]C1=C(C#N)C2C=CC1C2,250.0,93.39,75.0,0.0001,H,Cyano,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C#N)C2C=CC1C2(C)C,250.0,67.5,75.0,0.0001,H,Cyano,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C#N)C2CC1(C)C=C2C,250.0,87.21,75.0,0.0001,H,Cyano,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OC)C2C=CC1C2,253.0,108.45,75.0,0.0001,H,Methyl ester,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OC)C2C=CC1C2(C)C,253.0,47.32,75.0,0.0001,H,Methyl ester,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OC)C2CC1(C)C=C2C,253.0,101.22,75.0,0.0001,H,Methyl ester,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OCC)C2C=CC1C2,253.0,68.5,75.0,0.0001,H,Ethyl ester,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OCC)C2C=CC1C2(C)C,253.0,40.93,75.0,0.0001,H,Ethyl ester,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(=O)OCC)C2CC1(C)C=C2C,253.0,107.22,75.0,0.0001,H,Ethyl ester,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(C)=O)C2C=CC1C2,255.0,88.68,75.0,0.0001,H,Acetyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(C)=O)C2C=CC1C2(C)C,255.0,67.5,75.0,0.0001,H,Acetyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(C)=O)C2CC1(C)C=C2C,255.0,69.56,75.0,0.0001,H,Acetyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(F)(F)F)C2C=CC1C2,240.0,77.5,75.0,0.0001,H,Trifluoromethyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(F)(F)F)C2C=CC1C2(C)C,240.0,101.74,75.0,0.0001,H,Trifluoromethyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(F)(F)F)C2CC1(C)C=C2C,240.0,75.5,75.0,0.0001,H,Trifluoromethyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(S(C)(=O)=O)C2C=CC1C2,245.0,70.5,75.0,0.0001,H,Methylsulfonyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(S(C)(=O)=O)C2C=CC1C2(C)C,245.0,122.87,75.0,0.0001,H,Methylsulfonyl,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(S(C)(=O)=O)C2CC1(C)C=C2C,245.0,71.5,75.0,0.0001,H,Methylsulfonyl,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(N)=O)C2C=CC1C2,249.0,110.06,75.0,0.0001,H,Carboxamide,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(N)=O)C2C=CC1C2(C)C,249.0,81.5,75.0,0.0001,H,Carboxamide,"7,7-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(C(N)=O)C2CC1(C)C=C2C,249.0,92.98,75.0,0.0001,H,Carboxamide,"1,4-Dimethyl",NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
[H]C1=C(c2ccc(C#N)cc2)C2C=CC1C2,280.0,67.5,75.0,0.0001,H,4-Cyanophenyl,Unsubstituted_C7,NBD_QC_Functionalized,NBD_Combinatorial_M08_Aligned,RDKit_MMFF94_3D
