SMILES,novelty,dist_to_D_A,dist_to_D_B,max_sim_D_A,max_sim_D_B,synthetic_accessibility,pred_group_A_absorption_max_nm,unc_group_A_absorption_max_nm,pred_group_A_log_extinction,unc_group_A_log_extinction,pred_group_A_photochem_efficiency,unc_group_A_photochem_efficiency,pred_group_B_log_kp,unc_group_B_log_kp,pred_group_B_skin_sensitization,unc_group_B_skin_sensitization,pred_group_B_skin_irritation,unc_group_B_skin_irritation,pass_surrogate_A,pass_surrogate_B,pass_surrogate_all,oracle_group_A_absorption_max_nm,oracle_group_A_log_extinction,oracle_group_A_photochem_efficiency,oracle_group_B_log_kp,oracle_group_B_skin_sensitization,oracle_group_B_skin_irritation,pass_oracle_A,pass_oracle_B,pass_oracle_all,pass_constraints,method_id,seed
CC[Si](CC)(c1cc2ccc3cccc4ccc(c1C(=O)NC(C)(C)C)c2c34)C(C)CCCC(C)(C)OC,1,0.3559,0.7188,0.6441,0.2812,3.836,381.0778,78.6301,4.1346,0.4268,0.3743,0.237,-6.5284,1.2841,0.3853,0.3714,0.1344,0.2677,1,1,1,396.9476,3.9612,0.4649,-6.2867,0.0295,0.0049,1,1,1,1,B0,42
COC(=O)c1ccc2ccc(-c3nc4ccccc4[nH]3)nc2c1N=Cc1cc(Br)ccc1O,1,0.3433,0.6349,0.6567,0.3651,2.7761,373.2702,52.8577,4.4084,0.3147,0.2997,0.2532,-6.7003,0.9719,0.4866,0.4067,0.1393,0.2333,1,1,1,385.4776,4.494,0.227,-6.4137,0.0747,0.008,0,1,0,0,B0,42
CC(C)(C)c1cc(Br)cc(C(c2ccccc2)c2cccs2)c1O,1,0.6429,0.1707,0.3571,0.8293,2.8603,311.0425,42.0166,4.1614,0.5007,0.2139,0.1931,-6.765,1.0404,0.4728,0.394,0.3208,0.349,0,1,0,313.303,4.1064,0.1113,-6.2464,0.0769,0.0139,0,1,0,0,B0,42
CCCC=Cc1cc(C(C)C)c(O)c(C(C)C)c1O,1,0.7609,0.6279,0.2391,0.3721,2.8491,289.89,45.5091,3.9215,0.5021,0.2122,0.1702,-6.5598,1.1202,0.3643,0.3509,0.3368,0.3493,0,1,0,320.7382,3.9311,0.218,-5.9484,0.0215,0.008,0,1,0,0,B0,42
O=C(c1c2ccccc2n2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c12)N1CCC2(CCCCN2)C1,1,0.4746,0.6364,0.5254,0.3636,3.8413,540.8591,136.6198,4.4639,0.4094,0.3317,0.2584,-7.1677,1.4696,0.4018,0.3707,0.1631,0.2442,0,1,0,454.384,4.3644,0.294,-7.1149,0.1061,0.0062,0,1,0,0,B0,42
COC1=[N+](C)c2ccccc2C1(C)C,1,0.5926,0.7317,0.4074,0.2683,3.0292,350.8982,105.4311,3.7674,0.53,0.188,0.2447,-5.5906,1.0651,0.3287,0.2932,0.3928,0.3372,0,1,0,338.9154,3.7702,0.2844,-5.1682,0.0707,0.2577,0,1,0,0,B0,42
CC(C)CCC1(C=C(C#N)C(=O)O)C(=O)NC(=O)NC1=O,1,0.725,0.5814,0.275,0.4186,3.3903,348.9614,99.7427,3.1937,0.9953,0.1955,0.1894,-7.2979,0.724,0.5403,0.3936,0.3855,0.3723,0,0,0,420.313,3.3987,0.1398,-7.4841,0.3425,0.2853,0,1,0,0,B0,42
CCCCCCCCCc1cc(-c2ccc(C)cn2)c(O)c(C(C)(C)C)c1C,1,0.6852,0.5556,0.3148,0.4444,2.635,329.8503,44.5173,4.0162,0.646,0.3981,0.2425,-6.8286,1.4268,0.3682,0.3578,0.2817,0.3475,1,1,1,324.6828,4.0781,0.3929,-7.573,0.0552,0.004,1,1,1,1,B0,42
CC(c1ccccc1)c1cc(-c2cc(S(=O)(=O)O)c3[nH]c4cc5c(=O)c6cc(S(=O)(=O)O)cc(S(=O)(=O)O)c6[nH]c5cc4c(=O)c3c2)c(O)cc1O,1,0.4444,0.6406,0.5556,0.3594,4.0029,467.0327,99.2851,4.2449,0.5977,0.4957,0.2645,-6.9025,1.2666,0.3802,0.3742,0.1803,0.284,0,1,0,442.2028,4.2479,0.3354,-7.0741,0.0168,0.0083,0,1,0,0,B0,42
CC1=CCC(c2c(-c3cccc(C#N)c3)c3c4ccccc4c(-c4ccccc4)c(-c4ccccc4)[n+]3c3ccccc23)CC1=O,1,0.5738,0.6857,0.4262,0.3143,3.6249,446.8589,54.3996,4.3868,0.3959,0.4507,0.1805,-7.2187,1.4764,0.464,0.3818,0.2011,0.2774,0,1,0,491.5488,4.2859,0.4557,-7.6058,0.0922,0.0129,0,1,0,0,B0,42
Cc1ccc(-c2cc(Cc3cc(C)cc(C(C)(C)C)c3O)c(O)c(-n3nc4ccccc4n3)c2)cc1,1,0.5472,0.3036,0.4528,0.6964,2.6594,372.6077,65.0335,4.451,0.3607,0.2676,0.2142,-6.9362,1.1162,0.4039,0.3777,0.262,0.3436,1,1,1,367.2236,4.4505,0.3084,-7.0211,0.0386,0.0045,1,1,1,1,B0,42
COC(=O)c1ccc(C)c(O)c1OC,1,0.5484,0.3939,0.4516,0.6061,1.9724,296.0014,29.7923,4.0414,0.3882,0.1882,0.1504,-5.5347,0.6603,0.5532,0.3704,0.2253,0.2876,0,0,0,286.8343,3.7736,0.154,-5.351,0.5246,0.0137,0,0,0,0,B0,42
CCC(CC)(CC)Cc1cc(C(C)(C)c2ccc(CC(CC)(CC)N3C(=O)Cc4ccccc4C3=O)c(O)c2)ccc1O,1,0.7143,0.4364,0.2857,0.5636,3.4468,381.2707,110.8386,4.3575,0.2459,0.3756,0.2407,-6.7989,1.2244,0.3826,0.3999,0.2129,0.3095,1,1,1,428.2293,4.4662,0.2455,-6.848,0.2398,0.0066,0,1,0,0,B0,42
Oc1c(/C=N/Nc2ccc(NCc3ccccn3)cc2)ccc2ccccc12,1,0.4314,0.6825,0.5686,0.3175,2.2328,354.3248,32.355,3.8132,0.9421,0.1741,0.134,-7.4477,1.2763,0.5603,0.3887,0.1609,0.2474,0,0,0,348.4951,4.0487,0.0744,-7.958,0.0865,0.0048,0,1,0,0,B0,42
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(-c4ccc(O)c(Cl)c4)cc3F)C2=O)cc1,1,0.4694,0.6167,0.5306,0.3833,2.5949,409.1562,50.2173,4.3819,0.3232,0.2099,0.1956,-6.5786,0.7473,0.5863,0.3897,0.2268,0.3324,0,0,0,404.8498,4.4894,0.2011,-6.8127,0.0477,0.006,0,1,0,0,B0,42
CC(=O)c1nc2c3ccccc3c3ccccc3c2o1,1,0.561,0.6216,0.439,0.3784,2.2166,343.9906,29.3291,4.1852,0.2781,0.3595,0.1961,-7.1181,1.3789,0.5074,0.3531,0.178,0.2642,1,0,0,339.739,4.004,0.2753,-7.1503,0.1936,0.004,1,1,1,1,B0,42
CCCCCc1nc2ccccc2n1-c1ccc(N(C)C)cc1,1,0.5185,0.6897,0.4815,0.3103,1.9753,354.7405,48.1805,4.2934,0.333,0.4032,0.1816,-6.7796,1.2274,0.4164,0.3559,0.2443,0.2723,1,1,1,375.6076,4.3185,0.2679,-6.5198,0.2984,0.0129,1,1,1,1,B0,42
