SMILES,method_id,pred_A_wavelength,pred_A_delta_h,pred_A_pss,pred_A_log_k,synthetic_accessibility,pred_B_wavelength,pred_B_log_eps,potts_guy_log_kp,molecular_weight,log_p,uncertainty_AD,novelty,dist_to_DA,dist_to_DB,pass_group_A,pass_group_B,pass_ad,pass_constraints
N#CC1=C(S#N)C2(c3ccc(N=Nc4ccc(O)cc4)cc3)C=CC1O2,B0_baseline,418.65,63.7,78.9,-4.26,4.96,344.4,3.99,-1.38,360.4,4.96,0.739,True,0.674,0.803,False,False,False,False
COC(=O)C1=CC2CC1(OC)C=C2C12CC3(OC(=O)c4ncccc4O)C4C(C41)C32,B0_baseline,387.96,67.09,74.0,-4.0,6.19,354.9,3.35,-3.75,407.4,2.02,0.77,True,0.771,0.769,False,False,False,False
O=S(=O)(O)c1cccc(N=Nc2ccccc2)c1,B0_baseline,367.37,50.89,76.5,-5.34,2.17,351.61,3.94,-1.92,262.3,3.35,0.599,True,0.531,0.667,True,False,True,False
FC(F)(F)C1=C(c2cccs2)C2C=CC1C2,B0_baseline,331.01,86.63,75.0,-4.0,4.59,328.2,4.03,-1.15,242.3,4.27,0.312,False,0.0,0.625,False,False,True,False
CC1=CC2C=C(C34C5OC6C5C3C64)C1C2,B0_baseline,251.48,74.23,77.3,-4.0,6.67,276.32,3.58,-2.38,198.3,2.15,0.837,True,0.804,0.871,False,False,False,False
CCOc1cc(O)ccc1N=Nc1cccc(C2=CC3CC2C=C3c2cccc(C(F)(F)F)c2)c1,B0_baseline,379.51,51.82,74.5,-4.2,4.5,355.96,4.28,0.32,476.5,8.34,0.71,True,0.657,0.762,False,False,False,False
Cc1nc(N=Nc2ccccn2)c(C2=CC3C=CC2C3)cc1O,B0_baseline,387.63,58.14,74.6,-4.25,5.05,344.78,4.01,-1.36,304.4,4.5,0.73,True,0.698,0.761,False,False,False,False
CN(C)c1ccc(-c2cccc(N=Nc3cccc(C45C=CC(C4)C(C#N)=C5C#N)c3)c2)cc1,B0_baseline,418.14,49.28,74.4,-4.21,4.62,349.68,4.34,-0.42,441.5,7.01,0.658,True,0.615,0.701,False,False,True,False
CN(C)c1ccc(N=Nc2ccccc2)cc1,B0_baseline,402.65,50.43,73.9,-5.25,2.02,345.1,4.03,-1.12,225.3,4.17,0.205,True,0.0,0.409,True,False,True,False
N#CC1=C(c2ccccc2)C2C=CC1C2,B0_baseline,330.11,68.4,75.0,-4.0,4.09,308.15,3.93,-1.63,193.2,3.17,0.357,False,0.0,0.714,True,False,True,False
CN(C)c1ccc(N=Nc2cccc(C3=CC4C=CC3C4)c2C2C3C=CC2(C2=C(C#N)C4C=CC2C4)C(C#N)=C3S#N)cc1,B0_baseline,419.42,50.76,74.2,-4.24,6.99,359.5,4.09,0.12,590.8,9.04,0.739,True,0.684,0.794,False,False,False,False
CCC1C2C3C1C1C2C31OC(Cl)CN(C)C,B0_baseline,302.87,72.45,75.3,-4.0,5.37,326.32,3.21,-2.73,241.8,2.03,0.854,True,0.852,0.857,False,False,False,False
CN(C)c1ccc(N=Nc2ccccc2C23C=CC(C2)C(C24C=CC(C2)C(S#N)=C4C#N)=C3C#N)c(C#N)c1,B0_baseline,433.6,53.68,75.4,-4.23,6.33,352.09,4.16,-0.76,525.6,7.25,0.723,True,0.697,0.75,False,False,False,False
